Titre,Prix_CFA,Localisation,Nb_Chambres,Nb_Salles_Bain,Surface_m2,Description
Location d'un bel appartement F3 à Sacré Coeur,650000.0,Sacré-cœur Dakar,2.0,2.0,145.0,"La résidence Teranga Tower I est située à Sacré Coeur I, dans un secteur calme et résidentiel.
De type F3, l'appartement se compose d'un grand salon et de 2 chambres toutes toutes avec leurs SDB. L'appartement est lumineux et se compose d'une cuisine entièrement équipée et d'une buanderie.
La résidence se compose d'une salle de sport, d'un ascenseur et une terrasse commune à tous les résidents. Secteur particulièrement calme et donnant rapidement sur les principales artères (Centre ville, VDN, Mermoz, Cité Keur Gorgui)
Merci de nous contacter pour plus d'informations"
Appartement de 197m2 à vendre au point E,193000000.0,Point-e Dakar,3.0,3.0,,"Appartement de 197m2 à vendre au point E compose de 3 chambres avec salle d'eau attenante, un salon spacieux, une cuisine semi équipée, une toilette visiteurs, un débarras, une buanderie, un espace familial et balcon.
Immeuble avec ascenseur, groupe électrogène, gardiennage, parking sous-sol. Idéal pour habitation ou pour des bureaux. Réf :MS2312"
Résidence d’exception située dans le Haut Plateau - VUE MER,3000000.0,Plateau Dakar,3.0,,,"Nouvelle Résidence d'exception située dans le Haut Plateau :
Des appartements type 3 chambres et duplex type 4 chambres à louer.
Très haut standing
Climatisation par VRV
Salle de sport
Vidéosurveillance
Sécurité 24h/24
Groupe électrogène et surpresseur
Disponibilité : Immédiate"
Terrain À vendre mbao,34900000.0,Mbao Dakar,,,150.0,Terrain viabilisé à vendre à sicap villeneuve Mbao zone paisible et accessible par la RN1 (route nationale) et la sortie 8 péage à 15mn de Dakar (ref pbi. Coumbis)
APPARTEMENTS A LOUER – SICAP KARACK,350000.0,Karack Dakar,3.0,3.0,150.0,"📍 Situé à Sicap Karack, au rez-de-chaussée, en face de l'école Mamadou et Bineta, sur la route principale, proche de la VDN.
Bel appartement 03 chambres + salon comprenant :
✔️ Chambre parentale avec salle de bain
✔️ Deux chambres avec salle de bain commune
✔️ Cuisine fonctionnelle
✔️ Patio / petite cour arrière
Quartier calme, sécurisé et facilement accessible"
"Studio vide à louer – Cité Batrain, Mermoz",225000.0,Mermoz Dakar,1.0,1.0,,"🏠
📍 Adresse :
Cité Batrain, en face d'Auchan Mermoz - 2ᵉ étage
🔹 Description :
Studio vide bien agencé comprenant :
• 1 chambre principale avec salle de bain
• Un salon lumineux avec cuisine américaine
• Une cuisine africaine séparée
⭐ Atouts :
✔️ Emplacement très recherché
✔️ Quartier résidentiel calme et sécurisé
✔️ À 500 mettre d'Auchan Mermoz
✔️ Accès rapide à la VDN ou la corniche
🎯 Profil recherché :
Idéal pour étudiante étrangère ou jeune professionnel."
Chambre meublée aux Maristes,12000.0,Hann maristes Dakar,,,,"Belle chambre climatisée aux Maristes, la chambre est équipée d'une télé, salle de bain. Cadre calme et sécurisé. Gardiennage jour et nuit. Service de ménage tous les jours. Draps et serviettes propres."
Luxueux appartement F3 haut standing à louer à Dakar plateau,400000.0,Plateau Dakar,2.0,,,"MM SERVICES🙏
Appartement F3 propre, spacieux et accessible composé de 2 chambre, salon, 3 toilettes, espace familial, balcons, une cuisine, un patio, une poubelle sur chaque palier, gardiennage H24 est disponible à DAKAR PLATEAU pas loin de l'avenue FAIDHERBE.
Commodités:
Ascenseur, surpresseur d'eau...
CONFORT-FIABILITÉ-ASSURANCE
NOTRE CRÉDO!!!"
"Villa à louer à Biagui (Virage), quartier résidentiel",900000.0,Virage Dakar,3.0,,150.0,"À louer - Villa à Biagui (Virage), quartier résidentiel
Située dans le quartier du Virage (Biagui), cette villa offre de beaux volumes et une organisation fonctionnelle, idéale pour une famille ou un usage résidentiel.
Caractéristiques :
🔹 Rez-de-chaussée :
• Grand salon / salle à manger
• Toilette visiteur
• Cour arrière
• Garage
• 1 chambre de gardien
🔹 1er étage :
• 1 chambre parentale avec dressing et salle de bains
• 2 chambres partageant 1 toilette séparée et 1 douche
🔹 2e étage :
• Grande terrasse
• Véranda
• 1 chambre de bonne avec toilette
📍 Biagui - Virage, Dakar
🏠 Villa 5 chambres - Quartier calme et recherché"
Bel appartement à louer à ngor,1200000.0,Almadies Dakar,4.0,4.0,,"Bel appartement spacieux avec jardin privatif à louer à ngor comprenant 4 chambres salon et salle à manger cuisine 4 salles de bain.
Possibilité de louer en meublé."
A loué sacreceur1 un apartuman 2etage,400000.0,Sacré-cœur Dakar,,,255.0,3chambr salon 2balcon terrasse kuisine avec buanderie grand space familial 2etage a sacreceur1
Appartement 2 chambres salon,200000.0,Ouest foire Dakar,2.0,,,"À louer - 2 chambres salon à Ouest Foire
Appartement composé de 2 chambres, 1 salon, cuisine, salle d'eau et toilette visiteurs.
Quartier calme et accessible.
Loyer : 200 000 FCFA / mois"
Appartement meublé aux Almadies,675000.0,Almadies Dakar,1.0,1.0,,"Bel appartement meublé à 100m de la banque mondiale comprenant 1 chambre salon et salle à manger cuisine équipée us, 1 salle de bain."
"Appartement Ouakam corniche 1,2,3 chambres",25000.0,Ouakam Dakar,3.0,1.0,,"joli studio et appt meublés , situé sur la corniche ,salon et chambres climatisés, cuisine équipées partir de 25 000/j, réduction longue durée"
villa louer mermoz,1100000.0,Mermoz Dakar,3.0,,250.0,villa louer mermoz avec 3 chambres salon chambres avec salle d'eau deux chambres partager avec salle d'eau avec grand cour derrière et avant terrasse balcon garage à louer 1 millions 100
Appartements Haut Standing de type F3 Cité Keur Gorgui,673400.0,Cité keur gorgui Dakar,2.0,,,"Découvrez ces appartements F3 haut standing alliant confort, modernité et praticité.
Chaque unité offre un espace de vie agréable et bien agencé, idéal pour un couple ou une petite famille.
Caractéristiques :
• 2 chambres climatisées avec salle de bain chacune
• Salon confortable et bien éclairé
• Cuisine moderne entièrement équipée (rangement, four, micro-ondes, gazinière, hotte, lave-linge)
• Toilettes visiteurs
Sécurité & confort :
• Porte d'entrée électronique
• Caméra de vidéosurveillance
• Environnement paisible et sécurisé
Atouts :
• Finitions de qualité
• Climatisation intégrée
• ⁠Cadre calme et résidentiel
• ⁠Condition 3 mois
• ⁠Usage mixte prend bureau & habitation
• ⁠Prix 673400 FCFA TTC."
Villa à vendre à SALY STATION (PETITE CÔTE),200000000.0,Mbour Thiès,2.0,5.0,302.0,"🔴 À VENDRE - Magnifique Villa à Saly Station (Petite Côte) 🔴
Superbe villa d'une superficie d'environ 280 m², idéalement située à Saly Station, dans un environnement calme et agréable.
Composition :
Rez-de-chaussée :
• Garage
• 2 chambres avec salle de bain
• Toilette visiteurs
• Espace familial + petit salon
• un petit salon
• Cuisine avec espace salle à manger
• Piscine dans la cour arrière
1er étage :
• 2 chambres avec salle de bain chacune
• 1 grande chambre parentale avec dressing et salle de bain
• 1 cuisine
• Accès à une terrasse aménagée
Localisation : Saly Station - Petite Côte
le prix est negociable"
Immeuble d'angle à vendre,310000000.0,Hann maristes Dakar,,15.0,303.0,"Profitez d'un bon investissement avec cegrand immeuble d'angle bati sur un terrain de 303 m2 idéalement situé au centre de maristes proche de la route principale et des commerces , parfait pour un premier achat ou un investissement sûr.
• 6 Appartements spacieux et lumineux avec balcon pour profiter de l'extérieur
. 4 magasins
• Parking sécurisé de 8 places inclus, un vrai plus en milieu urbain
• Situé dans un quartier calme avec accès facile aux commodit
La luminosité naturelle et la disposition fonctionnelle offrent un confort de vie optimal.
Une opportunité rare sur le marché, à saisir rapidement. Contactez-nous dès aujourd'hui pour organiser une visite et concrétiser votre projet immobilier !"
Chambre meublée à Ouest foire,15000.0,Ouest foire Dakar,,1.0,25.0,"Description
Bonjour.
Nous mettons à votre disposition des chambres meublées ventilées ou climatisées, avec toilettes privées ou sdb, avec ou sans balcon à Ouest foire à côté de la case des tout petits sur la route de l'aéroport dans un endroit calme et sécurisé. Les chambres sont de grands standing composé de lit double Table avec chaînes canal, accès cuisine équipée avec ustensiles... Femme de ménage disponible tous les jours, draps et serviettes propres...prix minimum afficher
Merci de nous contacter pour autres informations."
Villa à vendre à Sinthiou Mbadane sérère extension,39000000.0,Malicounda Thiès,2.0,2.0,300.0,"Offrez-vous le confort et la tranquillité dans cette charmante villa de plain-pied, idéalement située en troisième ligne de la bretelle de l'autoroute menant à Pointe Sarène. Érigée sur un terrain de 300 m² soigneusement aménagé, cette propriété allie modernité et fonctionnalité, idéale pour une résidence principale ou un investissement locatif.
Caractéristiques :
• 2 chambres spacieuses, dont une avec salle de bain et toilettes
• Un vaste salon lumineux, agrémenté d'une cuisine ouverte
• Des toilettes visiteurs pour plus de confort
• Une piscine privée, parfaite pour se détendre
• Un garage, offrant un espace de stationnement sécurisé
Atouts :
• Emplacement stratégique, avec un accès rapide à la plage (15 min de Warang ) et ( 20 min de Nianing) et aux commodités
Titre de propriété: délibération"
Chambres meublées à Keur Massar,10000.0,Keur Massar Dakar,,,,"Des chambres spéciales meublées, ventilées ou climatisées avec des salles de bains, propres, calmes, discrètes, disponibles à Keur Massar centre ville côté Auchan. Très Confortables, très jolies, très reposant. A partir du prix indiqué. La ville de Keur Massar est située à 20min de route de Dakar. Tres accessible par l'autoroute à péage. Veuillez nous appeler pour plus d'informations."
Appartement F4,48000000.0,Golf Dakar,,4.0,105.0,"🏠 Appartement à vendre F4 à la cité Aliou Sow Golf
Bel appartement, bien situé dans un quartier calme et accessible. Composé de chambres spacieuses, salon, cuisine et salle de bain. Proche des commerces, écoles et transports.
👉 Une belle opportunité à saisir rapidement !
Une superficie de 105m2 et situé au deuxième étage. Il comprend un séjour, trois chambres, une cuisine, une toilette, une douche, un dégagement, une salle de bain, une buanderie et un balcon
📞 Contactez-nous dès maintenant pour plus d'informations."
Chambres meublées à Keur Massar,20000.0,Keur Massar Dakar,,9.0,200.0,"De nouvelles chambres meublées à Keur Massar centre ville près de Auchan avec un lit de rêve flottant lumineux et suspendu en l'air.
Des chambres meublées vip climatisées ou vip ventilées, très bien équipées avec salle de bain. Une expérience inoubliable avec un lit de rêve flottant lumineux dans un environnement paisible, discret et très accessible. Vous aurez tout le confort nécessaire, matelas orthopédique, tv canal, climatisation, rangement, salle de bain, salle à manger.. Keur Massar est à 20min de Dakar, 10min de Rufisque et 15min du Lac Rose.
Merci. A bientôt. Photos réelles."
Villa R+2 à louer à la cité BCEAO 1 nord foire,700000.0,Nord foire Dakar,5.0,,,"Villa R+2 à louer à la cité BCEAO 1 nord foire composée au rez de chaussée d'un salon, d'une cuisine, une courette et un WC visiteurs. Au 1er étage 3 chambres dont une avec salle d'eau et dressing, une salle d'eau extérieure. Au 2ème étage : une terrasse, une chambre avec salle d'eau, une cuisine et WC visiteurs. Réf :0MA14012"
Appartement lumineux à Ngor,365000.0,Ngor Dakar,2.0,3.0,180.0,Nous louons ce grand appartement très lumineux F4 à ngor composé d'un séjour avec une petite terrasse espace familiale chambre parent avec terrasse avec salle de bain intérieur avec baignoir une grande cuisine 2 chambres d'enfants dont une avec sa salle de bain intérieur .
Résidence Jamila F3/F4 à Castor,60000000.0,Castor Dakar,,2.0,,"Découvrez Résidence Jamila, des appartements F3 et F4 dans un cadre sécurisé et harmonieux. Situé dans un immeuble R+4 et R+5, ce projet propose des commodités exclusives et 16 espaces commerciaux pour un confort optimal. Rentrez chez vous dans la paix et le bonheur, avec un emplacement de luxe alliant sérénité et prospérité
Découvrez des espaces modernes et bien agencés, parfaitement adaptés à votre style de vie.
Emplacement stratégique : Accédez facilement aux commodités essentielles et au centre-ville, dans un cadre qui vous rapproche de tout ce qui compte.
Investissement rentable : Un achat qui combine valeur et qualité, pour une vie agréable ou une rentabilité assurée."
Appartement F3 à louer à Hann Maristes,500000.0,Hann maristes Dakar,,,,"À LA RÉSIDENCE SAINT JOSEPH. HANN MARISTES I. Lot W02 - FACE ECOLE HALWAR. À 5mn L'ÉCOLE COURS SAINTE MARIE DE HANN.
Appartements grands standings disponibles à la Résidence Saint Joseph.
Coût du loyer mensuel :
500.000 FCFA APPARTEMENT RDC F3
Services Offerts à l'immeuble :
1- Groupe Électrogène 150 KVA.
2- Paratonnerre.
3- Ascenseur.
4- Bache à eau 30 m3.
5- Surpresseur.
6- Détecteurs de fumée.
7- Extincteurs.
8- Gardiennage 24/24.
9- Placards rangements dans les couloirs et Armoires dans toutes les chambres.
10- Des caméras de surveillance sont disponibles dans la résidence
Nous vous renouvelons une fois de plus toute notre confiance pour le placement de ces appartement dans les meilleurs delais"
Appartements à vendre à Sacré-Cœur,200000000.0,Sacré-cœur Dakar,3.0,3.0,182.0,"Sacré-Cœur sur la route du BRT
Composés de 3 chambres avec salle de bain, salon, cuisine équipée, toilettes visiteurs, balcon.
Du 1er au 9éme Etages : des F4 spacieux
Du 10éme au 11 un duplex et penthouse
Immeuble avec Ascenseur, parking sous-sol, groupe électrogène, réservoir, suppresseur, caméra de surveillance, piscine, salle polyvalente, terrasse aménagée.
Surface: partir de 182m²"
"F3 VIDE HAUT STANDING AU POINT E , SOUROK 5",800000.0,Point-e Dakar,,,,"À LOUER - F3 VIDE HAUT STANDING AU POINT E
Découvrez ce bel appartement F3 vide situé au Point E, dans l'immeuble SouRok 5, au 5ᵉ étage.
L'appartement offre un cadre de vie confortable et sécurisé au sein d'un immeuble moderne équipé de :
• Ascenseur
• Gardiennage 24h/24 - 7j/7
• Vidéosurveillance
• Surpresseur d'eau
• Place de parking
Idéalement situé dans un quartier résidentiel prisé, calme et proche de toutes commodités."
F3 à vendre au Point E,118990000.0,Point-e Dakar,2.0,2.0,108.0,"la résidence Noor bénéficie d'un emplacement stratégique au cœur du Point E, à proximité immédiate des grands axes et des principaux pôles d'activités du quartier.
Implantée à proximité de la Trattoria de Alex, de la CBAO, et dans le même alignement que plusieurs banques et institutions, dont l'ancienne pâtisserie Les Ambassades, la résidence offre un accès direct aux services essentiels, aux commerces et aux centres d'affaires.
Un emplacement privilégié, alliant accessibilité, praticité et confort de vie, au sein d'un quartier vivant et recherché.
2 Ascenseurs
1 Piscine
1 Salle de sport
Parking sous-sol
SPA
Cuisines équipées
Espace détente à la terrasse
Vidéo surveillance
Sécurité H24
groupe électrogène
Fibre Optique
Syndic de Copropriété
Appartement F3 Composé de:
2 chambres spacieuse
2 salles d'eau
1 Toilette visiteur
Cuisine équipée"
Magnifique appartement de type F4 à louer,400000.0,Mamelles Dakar,3.0,3.0,,"Nous mettons en location ces magnifiques appartements de type F4 qui se situe à mamelles cité Mbackiou Faye composés de 3 chambres dont les deux chacune avec une salle de bain et la principale avec un balcon , un grand salon avec balcon , une cuisine avec des placards de rangements , un espace familial et une toilette visiteurs.
Niveau du 2ème au 6ème étage.
Dans un immeuble neuf avec ascenseur ."
Keur massar,150000.0,Hlm Dakar,2.0,2.0,,"2Chambre
1SDB
CUISINE
TOILETTE
ESPACE FAMILIAL
2BALCONS"
SOUROK 8 – APPARTEMENTS À VENDRE À BOURGUIBA,78000000.0,Avenue Bourguiba Dakar,,,,"SOUROK 8 - APPARTEMENTS À VENDRE À BOURGUIBA
Découvrez SouRok 8, un immeuble moderne de standing idéalement situé à Bourguiba, proposant des appartements F2, F3 et F4 conçus pour offrir confort, sécurité et qualité de vie.
L'immeuble dispose de prestations haut de gamme :
• Ascenseur
• Salle de sport équipée
• Groupe électrogène
• Surpresseur d'eau
• Parking souterrain sécurisé
Les appartements bénéficient de finitions soignées, d'une bonne luminosité et d'une distribution fonctionnelle, adaptés aussi bien à une résidence principale qu'à un investissement locatif.
💰 Prix : à partir de 78 millions FCFA
📌 Facilité de paiement : paiement échelonné possible
Un excellent rapport qualité prix dans un quartier stratégique et recherché de Dakar."
Appartement à louer à l'immeuble SouRok2,1000000.0,Point-e Dakar,,3.0,197.0,"Découvrez ce bel appartement lumineux situé au 6e étage de l'immeuble Sourok2 au Point E (Allées Seydou Nourou Tall), offrant confort et modernité dans un cadre agréable.
✅ Ascenseur
✅ Surpresseur d'eau
✅ Groupe électrogène
✅ Vidéosurveillance et gardiennage 24h/7
✅ Places de parking incluses"
Appartement à louer à Ngor,45000.0,Ngor Dakar,,3.0,,"Appartement meublé à louer 3ch. + salon, 3 salles d'eau, à Ngor / 250m de la plage : par jour (45.000F) et par mois(900.000F ; 800.000 à partir de 6 mois). Chambres et salon climatisés. Wifi. TV / canal. Immeuble avec gardiens H24."
Très jolie apt F4 meublé au point E,1100000.0,Point-e Dakar,3.0,3.0,160.0,"Mayou immobilier vous propose en location au point E un très beau appartement F4 meublé au 06 ème étage composé de:
03 chambres très lumineuses avec split et salle de bain chacune
Un salon très lumineux climatisé avec balcon
Une cuisine moderne et entièrement équipé avec buanderie équipée de machine à laver et la toilette du personnel
Une toilette visiteurs
Commodités : Ascenseur parking fermé un groupe électrogène un sur presseure un service de gardiennage assuré H24"
Maison à louer à fan résidence vue mer,3000000.0,Fann Dakar,4.0,,500.0,"Corniche fan résidence villa vue mer à louer
Une très belle villa à louer à fan résidence de haut standing très moderne de 4 chambres salon
plus chambre domestique
Double salon salle à manger
Cuisine entièrement équipée
Suite parentale avec dressing plus salle d'eau très moderne
Chaque chambre compose une salle placard plus climatisation
Terrasse privée
Vue mer
Commodité : piscine grande jardin garage groupe électrogène
Sécurité 24 sur 24
Pris 4 millions"
F2 à vendre au Point E,73990000.0,Point-e Dakar,1.0,1.0,62.0,"la résidence Noor bénéficie d'un emplacement stratégique au cœur du Point E, à proximité immédiate des grands axes et des principaux pôles d'activités du quartier.
Implantée à proximité de la Trattoria de Alex, de la CBAO, et dans le même alignement que plusieurs banques et institutions, dont l'ancienne pâtisserie Les Ambassades, la résidence offre un accès direct aux services essentiels, aux commerces et aux centres d'affaires.
Un emplacement privilégié, alliant accessibilité, praticité et confort de vie, au sein d'un quartier vivant et recherché.
2 Ascenseurs
1 Piscine
1 Salle de sport
Parking sous-sol
SPA
Cuisines équipées
Espace détente à la terrasse
Vidéo surveillance
Sécurité H24
groupe électrogène
Fibre Optique
Syndic de Copropriété
Appartement F2 Composé de:
1 chambre spacieuse
1 salle d'eau
1 Toilette visiteur
Cuisine équipée"
À vendre corniche Ouakan F4 vue mer 3 chambres,480000000.0,Ouakam Dakar,3.0,3.0,321.0,"Corniche Ouakan appartement vue mer à vendre de 3 chambres salon de haut standing
Grand terrasse vue sur la mer
Vue mer
Vue dégagée
Surface 321 mètres carrés
Double salon salle à manger vue sur mer
Cuisine entièrement équipée buanderie
Toilettes visiteurs
Partie nuit :
Suite parentale avec dressing plus salle d'eau vue sur mer
Chaque chambre compose une salle d'eau plus placard plus climatisation
Niveau 2 Eme étage
Commodité: picine ascenseur parking groupe électrogène vidéo de surveillance
Vente sur notaire"
Appartement a vendre a la Corniche des Mamelles,,Mamelles Dakar,,,168.0,"Mamelles Prestige
Un magnifique projet sur la corniche des Mamelles, idéal pour pour un investissement vu son emplacement stratégique et toutes ses commodités.
Nous offrons des appartements de type F4 de 150 a 168 m2 conçu uniquement pour votre confort.
Réservez dès maintenant!!"
Appartement a vendre a la Corniche des Mamelles,,Mamelles Dakar,,,104.0,"Mamelles Prestige
Un magnifique projet sur la corniche des Mamelles, idéal pour pour un investissement vu son emplacement stratégique et toutes ses commodités.
Nous offrons des appartements de type F3 de 90 a 104 m2 conçu uniquement pour votre confort.
Réservez dès maintenant!!"
